full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
SpectivOfficial/live-tour-lab	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-09-01	2018-10-14	False	1117	JavaScript		:heart::heart::heart: Framework for creating Live Tours. Add React VR components. :heart::heart::heart:
emadehsan/thal	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-08-30	2020-10-28	False	2360	JavaScript	chrome-headless|mongodb|mongoose|nodejs|puppeteer|scraping	Getting started with Puppeteer and Chrome Headless for Web Scraping
nvbn/thefuck	開發工具 / CLI	4. 停更 (2-3年)	REVIEW	2017-08-25	2024-07-19	False	97768	Python	python|shell	Magnificent app which corrects your previous console command.
esbenp/pdf-bot	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-08-23	2024-03-07	False	2638	JavaScript	chromium|google-chrome|headless|headless-chrome|headless-chromium|html|node-js|nodejs|pdf|pdf-generation|pdf-generator	🤖 A Node queue API for generating PDFs using headless Chrome. Comes with a CLI, S3 storage and webhooks for notifying subscribers about generated PDFs
brunobar79/J-I-C	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-08-23	2018-07-19	False	853	JavaScript		J I C is a Javascript Image Compressor using HTML5 Canvas & File API that allows you to compress your jpeg & png images before uploading to the server (100% client-side and no extra libraries required!)
steveschow/gfxCardStatus	桌面 / 行動 App	3. 長期停更 (>3年)	UNSTAR	2017-08-22	2020-12-01	False	558	Objective-C		This is a fork of gfxCardStatus, this fork will handle integrated-only mode a little better
saada/Habitica-macOS	桌面 / 行動 App	3. 長期停更 (>3年)	UNSTAR	2017-08-20	2016-07-02	False	16	HTML	habitica|macos	Habitica (formerly HabitRPG) native version for the mac desktop
nativefier/nativefier	桌面 / 行動 App	1. 已封存	REVIEW	2017-08-20	2023-09-29	True	35284	TypeScript	desktop-application|electron|linux|macos|nodejs|windows	Make any web page a desktop application
dawnlabs/alchemy	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-08-19	2021-03-14	False	1001	JavaScript	alchemy|convert|electron|files|images|menubar|react	:crystal_ball: File conversion, all from the menu bar
TKkk-iOSer/WeChatPlugin-MacOS	桌面 / 行動 App	4. 停更 (2-3年)	REVIEW	2017-08-18	2024-06-09	False	14281	Objective-C	alfred-workflow|macos|plugin|tweak|wechat|weixin	微信小助手
Tencent/VasSonic	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-08-18	2023-04-07	False	11850	Java	android-sdk|h5|hybrid|ios-sdk|web|webview	VasSonic is a lightweight and high-performance Hybrid framework developed by tencent VAS team, which is intended to speed up the first screen of websites working on Android and iOS platform. 
webslides/WebSlides	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-08-17	2022-12-10	False	6321	JavaScript	css|design|html|html-presentation|javascript|slides|slideshow|webpack|webslides	Create HTML presentations in seconds —
wp-sync-db/wp-sync-db	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-08-14	2021-03-21	False	2287	PHP		A WordPress plugin that lets you push, pull, and sync database tables between WordPress installations.
SpiderClub/weibospider	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-08-07	2020-07-11	False	4794	Python	data-analysis|distributed-crawler|python3|sina|weibo|weibospider	:zap: A distributed crawler for weibo, building with celery and requests.
welaika/wordless	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-08-05	2023-04-28	False	1420	PHP	babel|core-js|development|es2015|es6|framework|jade|php|plugin|pug|pug-template-engine|sass|scss|theme|webpack|wordpress|wordpress-boilerplate|wordpress-starter-theme|yarn	All the power of Pug, Sass, Coffeescript and WebPack in your WordPress theme. Stop writing themes like it's 1998.
speed/newcrawler	資料處理 / 爬蟲	4. 停更 (2-3年)	UNSTAR	2017-08-05	2023-11-25	False	587	JavaScript	crawler|docker|scraping|spider	Free Web Scraping Tool with Java
ruipgil/scraperjs	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-08-05	2020-10-18	False	3716	JavaScript		A complete and versatile web scraper.
scrapinghub/portia	資料處理 / 爬蟲	1. 已封存	UNSTAR	2017-08-05	2024-06-26	True	9504	Python		Visual scraping for Scrapy
NikolaiT/GoogleScraper	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-08-05	2021-07-03	False	2879	HTML	crawler|python|scraping|search-engine|search-engine-optimization|search-engines	A Python module to scrape several search engines (like Google, Yandex, Bing, Duckduckgo, ...). Including asynchronous networking support.
poststatus/wptest	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-08-04	2023-11-29	False	934	Shell		WP Test - The Best Tests For WordPress
a-thok/rime-hokkien	其他 / 未分類	3. 長期停更 (>3年)	UNSTAR	2017-08-04	2020-07-09	False	59			閩南語臺羅輸入方案，為RIME輸入法所設計
1sters/material_design_zh	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-08-04	2019-05-06	False	3049	CSS		Material Design 中文协同翻译 - design.1sters.com
thunlp/THULAC-Python	其他 / 未分類	3. 長期停更 (>3年)	UNSTAR	2017-08-04	2022-01-31	False	2084	Python	chinese-nlp	An Efficient Lexical Analyzer for Chinese
lucasjinreal/weibo_terminater	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-08-04	2019-10-25	False	2317	Python	chatbot|chinese|corpus|scraper|sina|weibo	Final Weibo Crawler Scrap Anything From Weibo, comments, weibo contents, followers, anything. The Terminator 
NLPchina/ansj_seg	機器學習 / 資料科學	4. 停更 (2-3年)	REVIEW	2017-08-04	2023-11-19	False	6516	Java	ansj|chinese|java|nlp	ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典
schickling/chromeless	自架服務 / DevOps	1. 已封存	UNSTAR	2017-07-31	2018-11-13	True	13220	TypeScript	chrome|graphcool|headless|headless-chrome|integration-testing|nightmarejs|selenium|serverless	🖥  Chrome automation made simple. Runs locally or headless on AWS Lambda.
welovewordpress/SublimeHtmlTidy	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-07-29	2013-11-20	False	89	Python		Tidy, clean and prettify your HTML code with this plugin for Sublime Text 2
hypriot/rpi-node	開發工具 / CLI	1. 已封存	UNSTAR	2017-07-29	2017-09-07	True	71	Shell		RPi-compatible Docker image with Node.js
hypriot/flash	開發工具 / CLI	3. 長期停更 (>3年)	UNSTAR	2017-07-29	2022-06-06	False	1017	Shell	card-reader|flash|hypriot-flash|hypriot-os|raspberry-pi|sd-card-image|sd-cards|wifi-settings	Command line script to flash SD card images of any kind
HelloZeroNet/ZeroNet	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2017-07-25	2024-01-31	False	18771	JavaScript	anonymity|anticensorship|bitcoin|bittorrent|decentralized|internet-freedom|p2p|python|realtime|tor|torrent|web	ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network
ivanilves/xiringuito	安全 / 隱私	3. 長期停更 (>3年)	UNSTAR	2017-07-25	2021-12-29	False	1160	Shell	access|aws|bastion-host|network|security|ssh|vpn	"SSH-based ""VPN for poors"""
luckymarmot/ThemeKit	桌面 / 行動 App	3. 長期停更 (>3年)	UNSTAR	2017-07-23	2021-08-18	False	886	Swift	dark-theme|darkmode|theme-changes|theming|user-themes	macOS theming library
